Continent,Colony,CurrentNameOfTerritory,PeriodOfTime,ColonialPower,
Asia,Asir (Saudi Arabia),Saudi Arabia,1871 -1914,Ottoman Empire [tbd],
Asia,Azerbaijan,Azerbaijan,1784 -1918,Russia [tbd],
Asia,Bahrain,Bahrain,1820 -1971,Great Britain,
Asia,Baku (Azerbaijan),Azerbaijan,1516 -1806,Ottoman Empire [tbd],
Asia,Bencoolen,Indonesia,1825 -1949,Netherlands,
Asia,Bhutan,Bhutan,1772 -1910,Great Britain,
Asia,British Bencoolen,Indonesia,1685 -1825,Great Britain,
Asia,"British Indian Ocean
Territory",Chagos Archipelago,1814 to date,Great Britain,
Asia,Brunei,Brunei,1888 -1984,Great Britain,
Asia,Burma,Myanmar,1885 -1948,Great Britain,
Asia,Ceylon,Sri Lanka,1517 -1658,Portugal,
Asia,Ceylon,Sri Lanka,1796 -1948,Great Britain,
Asia,Cilicia,Turkey,1919 -1921,France,
Asia,Colombo,Colombo,1658 -1796,Netherlands,
Asia,Coromandel Coast (India),India,1606 -1825,Netherlands,
Asia,Cho-sen,Korea,1910 -1948,"Japan, already protector-
ate from 1905 onwards",
Asia,Cyrenaica (eastern Libya),Libya,1521 -1911,Ottoman Empire [tbd],
Asia,Dagestan,Russia,1645 -1730,Ottoman Empire [tbd],
Asia,Dejima (island off the coast of Nagasaki),Japan,1641 -1857,"Netherlands, trading post with approval of the
Japanese government",
Asia,Dutch India,Indonesia,1602 -1949(54),"Netherlands (under Dutch sovereignty from
1949 -1954)",
Asia,East Turkistan (Xinjiang),China,1757 -1876,China [tbd],
Asia,Federated Malay States,Malaysia,1795 -1948,Great Britain,
Asia,Formosa,Taiwan,1626 -1646,Spain,
Asia,French India,India,1673 -1962,France,
Asia,French Indochina,Cambodia,1863 -1954,France,
Asia,Gamru,Iran,"16th century -
1615",Portugal,
Asia,Georgia,Georgia,1578 -1801,Ottoman Empire [tbd],
Asia,Georgia,Georgia,1738 -1918,Russia [tbd],
Asia,Guangzhouwan,China,1899 -1943,France,
Asia,Hejaz,Saudi Arabia,"1517 -1803
1812 -1916",Ottoman Empire [tbd],
Asia,H i An,Viet Nam,1636 -1741,Netherlands,
Asia,Hong Kong,Hong Kong,1841 -1997,Great Britain,
Asia,Hormuz,Iran,1507 -1622,Portugal,
Asia,India,India,1756 -1947,Great Britain,
Asia,Iraq,Iraq,1920 -1932,Great Britain,
Asia,Iraq (Baghdad, Basra, Mosul),Iraq,"1534 -1623
1638 -1918",Ottoman Empire [tbd],
Asia,Jerusalem,Israel,1516 -1918,Ottoman Empire [tbd],
167,
Continent,Colony,Current name of territory,Period of time,Colonial power,
Asia,Jiaozhou (China),China,1898 -1914,"German Empire, on
lease from China",
Asia,Jordan,Jordan,1516 -1918,Ottoman Empire [tbd],
Asia,Karabakh,Azerbaijan,1557 -1730,Ottoman Empire [tbd],
Asia,Kars (Turkey),Turkey,1878 -1918,Russia [tbd],
Asia,Kartli (Georgia),Georgia,1727 -1735,Ottoman Empire [tbd],
Asia,Kazakhstan,Kazakhstan,1865 -1918,Russia [tbd],
Asia,Korea (protectorate from 1905),Korea,1910 -1945,Japan,
Asia,Kuril Islands,Russia,1945 to date,Russia [tbd],
Asia,Kuwait,Kuwait,1534 -1914,Ottoman Empire [tbd],
Asia,Kuwait,Kuwait,1899 -1961,Great Britain,
Asia,Kyrgyzstan,Kyrgyzstan,1865 -1918,Russia [tbd],
Asia,Lebanon,Lebanon,1920 -1943,France,
Asia,Lorestan (Iran),Iran,1587 -1639,Ottoman Empire [tbd],
Asia,Macao,China,1553 -1999,Portugal,
Asia,Malabar Coast (India),India,1661 -1790,Netherlands,
Asia,Malacca (Malaysia),Malaysia,1511 -1641,Portugal,
Asia,Malacca (Malaysia),Malaysia,1644 -1824,Netherlands,
Asia,Maldives,Maldives,1558 -1573,Portugal,
Asia,Maldives,Maldives,1654 -1796,Netherlands,
Asia,Maldives,Maldives,1796 -1965,Great Britain,
Asia,"Maluku Islands (Ambon, Bacan, Banda Islands,
Ternate)",Ternate,1512 -1861,Portugal,
Asia,Manchukuo,China,1931 -1945,Japan,
Asia,Manchuria,China,1858 -1905,Russia [tbd],
Asia,Mongolia,Mongolia,1688 -1911,China,
Asia,Muscat (Oman),Oman,1507 -1648,Portugal,
Asia,Muscat (Oman),Oman,1507 -1650,Portugal,
Asia,Muscat (Oman),Oman,"1550 -1551
1581 -1588",Ottoman Empire [tbd],
Asia,Nagasaki,Japan,1571 -1638,"Portugal, trading post
with Japanese approval",
Asia,Najd,Saudi Arabia,"1817 -1819
1837 -1902",Ottoman Empire [tbd],
Asia,Dutch Formosa,Taiwan,1624 -1662,Netherlands,
Asia,New Guinea,New Guinea,1528/45 -1606,Spain,
Asia,Nicobar Islands,Nicobar Islands,1756 -1848,"Denmark
(with interruptions)",
Asia,North Borneo,Malaysia,1882 -1963,Great Britain,
Asia,Oman,Oman,1891 -1958,Great Britain,
Asia,Palestine,Palestine,1920 -1948,Great Britain,
Asia,Paracel Islands,China,1974 -1974,China [tbd],
Asia,Pescadores,China,1624 -1661,Netherlands,
Asia,Philippines,Philippines,1565 -1898,Spain,
Asia,Philippines,Philippines,1898 -1946,USA,
Asia,Portuguese India,India,1498 -1961,Portugal,
Asia,Portuguese Timor,East Timor,1586 - 2002,Portugal,
168,
Continent,Colony,Current name of territory,Period of time,Colonial power,
Asia,Qatar,Qatar,1868 -1971,Great Britain,
Asia,Qatar,Qatar,1871 -1916,Ottoman Empire [tbd],
Asia,Sakhalin (Kuye Dao),Russia,1644 -1858,China [tbd],
Asia,Sanjak of Alexandretta,Turkey,1516 -1918,Ottoman Empire [tbd],
Asia,Sanjak of Alexandretta,Turkey,1918 -1938,France,
